n_total,median,q25,q75,model
54,4.580745288526824,4.580744584635953,4.580745843960376,GPR
54,4.227954494075123,4.0950271937502505,4.309158123953166,Random Forest
54,4.60075355108034,4.569558480273078,4.632913247131706,Ridge
54,4.6470574386811005,4.5749568142808705,4.704744475937898,XGBoost
55,4.506557996748953,4.5065567743003365,4.506559060745268,GPR
55,4.102742977871841,4.051168643112209,4.203788213892567,Random Forest
55,4.508987406568408,4.504114717400701,4.518275507173594,Ridge
55,4.606537343965384,4.57199230812554,4.6459840017048855,XGBoost
56,4.426076463284762,4.42607608242953,4.4260766560698235,GPR
56,4.0632335255426355,4.034050472730099,4.105006629885029,Random Forest
56,4.5016931133412745,4.487742583601239,4.5513493405633385,Ridge
56,4.535317564209828,4.393401990556379,4.56482947806812,XGBoost
57,4.2654589348068015,4.265458597909623,4.265459332966011,GPR
57,4.030272095416977,3.8757890348572177,4.127764002228416,Random Forest
57,4.489037109358558,4.471689307964208,4.536064159853782,Ridge
57,4.389757726418539,4.342713103256171,4.529665180607589,XGBoost
