part,step_id,variant,model,seed,cv,subset,target,train_mode,test_domain,n_added,n,n_total,n_groups,n_test,R2,RMSE,MAE
loocv_ref,OFAT|LOCO,,Random Forest,45,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6601848730295756,4.4019372626782545,3.124472031926184
loocv_ref,OFAT|LOCO,,Random Forest,46,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6790048888327084,4.278304621898085,3.0628053871145418
loocv_ref,OFAT|LOCO,,Random Forest,47,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.657455532631843,4.4195797338982326,3.303840417583385
loocv_ref,OFAT|LOCO,,Random Forest,48,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6734254532588908,4.315326508679704,3.229676428019453
loocv_ref,OFAT|LOCO,,Random Forest,49,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6700026376334194,4.3378819500179455,3.193482046409047
loocv_ref,OFAT|LOCO,,Random Forest,50,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.581477930934745,4.885192442875122,3.4396845834061764
loocv_ref,OFAT|LOCO,,Random Forest,51,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.6486560087389487,4.475986418058822,3.259677177005496
loocv_ref,OFAT|LOCO,,XGBoost,42,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5433463931809539,5.102886877565243,3.8066788480395366
loocv_ref,OFAT|LOCO,,XGBoost,43,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5836142935317814,4.8727081610121905,3.7169477462768556
loocv_ref,OFAT|LOCO,,XGBoost,44,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5544302547584085,5.040578025234038,3.812237108321417
loocv_ref,OFAT|LOCO,,XGBoost,45,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5628123697622085,4.99294092366343,3.76188847791581
loocv_ref,OFAT|LOCO,,XGBoost,46,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5621989415619931,4.99644255194672,3.7074115065165927
loocv_ref,OFAT|LOCO,,XGBoost,47,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.567257858283684,4.967491010155737,3.838191725185939
loocv_ref,OFAT|LOCO,,XGBoost,48,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5725584604565133,4.936974197677887,3.8517032900310704
loocv_ref,OFAT|LOCO,,XGBoost,49,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5735724986518518,4.931114620842353,3.7504383250645232
loocv_ref,OFAT|LOCO,,XGBoost,50,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5957978486109958,4.800890550251781,3.630529608499436
loocv_ref,OFAT|LOCO,,XGBoost,51,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.5793015594856481,4.897877804067625,3.817337851751419
loocv_ref,OFAT|LOCO,,GPR,42,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514506067776308,6.647107426761428,4.260291293034841
loocv_ref,OFAT|LOCO,,GPR,43,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514701719370667,6.647099034752029,4.260288530622574
loocv_ref,OFAT|LOCO,,GPR,44,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22513946740727475,6.647131417705295,4.260298206890433
loocv_ref,OFAT|LOCO,,GPR,45,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514456604656685,6.647109548362522,4.260290832773229
loocv_ref,OFAT|LOCO,,GPR,46,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.2251555336750447,6.647062505209206,4.260275733739943
loocv_ref,OFAT|LOCO,,GPR,47,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514840197216734,6.647093095068058,4.260285414833179
loocv_ref,OFAT|LOCO,,GPR,48,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.2251498095947846,6.647087057393971,4.260289836475776
loocv_ref,OFAT|LOCO,,GPR,49,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22516021640816486,6.647042419586783,4.260268318600741
loocv_ref,OFAT|LOCO,,GPR,50,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514582043325648,6.647104167972354,4.2602892138703305
loocv_ref,OFAT|LOCO,,GPR,51,LOCO,OFAT,Thickness_mean,,all,,,42,24,42,0.22514250380068412,6.647118393861035,4.260293879912472
loocv_ref,Augmented|LOOCV,,Ridge,42,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7386492472735164,4.547788297108331,3.2270768686541773
loocv_ref,Augmented|LOOCV,,Ridge,43,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7418959244694004,4.519452156299479,3.1775714629125087
loocv_ref,Augmented|LOOCV,,Ridge,44,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7521309044658165,4.428937515018756,3.0539159950526287
loocv_ref,Augmented|LOOCV,,Ridge,45,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7455556785365569,4.487296261852074,3.203543465024373
loocv_ref,Augmented|LOOCV,,Ridge,46,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7489531102295371,4.45723759286838,3.078845633190811
loocv_ref,Augmented|LOOCV,,Ridge,47,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7511509558036098,4.437683765076137,3.0632558716036913
loocv_ref,Augmented|LOOCV,,Ridge,48,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7534389920302769,4.417235568504641,3.0314901885868566
loocv_ref,Augmented|LOOCV,,Ridge,49,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7490159078659708,4.456680084483571,3.1253677765772263
loocv_ref,Augmented|LOOCV,,Ridge,50,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.749106699408126,4.4558739269024725,3.1003906916307082
loocv_ref,Augmented|LOOCV,,Ridge,51,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7493731023987922,4.453507635306304,3.097924266588214
loocv_ref,Augmented|LOOCV,,Random Forest,42,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.7911739369195168,4.065188727232157,2.879735630671235
loocv_ref,Augmented|LOOCV,,Random Forest,43,LOOCV,Augmented,Thickness_mean,,all,,,57,39,57,0.8048993761614067,3.929322645387453,2.5767461591081338
