model,subset,cv,seed,R2,RMSE,MAE
Ridge,Augmented,LOCO,51,0.7500114709402681,4.447832283141501,3.101978539132736
XGBoost,Augmented,LOCO,42,0.7382275010944013,4.551456239823449,3.3782274656128464
XGBoost,Augmented,LOCO,43,0.7600489017021912,4.357623789256458,3.0905511747326764
XGBoost,Augmented,LOCO,44,0.7355433414201737,4.574731560336227,3.31009787258349
XGBoost,Augmented,LOCO,45,0.7551191932735902,4.402159113093782,3.2443806126243198
XGBoost,Augmented,LOCO,46,0.748157824299641,4.46429200296001,3.343410978568228
XGBoost,Augmented,LOCO,47,0.7373098214189548,4.559427139623447,3.4177779256251823
XGBoost,Augmented,LOCO,48,0.7578708488214314,4.377356339743296,3.1669359576074703
XGBoost,Augmented,LOCO,49,0.7622333790063148,4.337742874589409,3.212415575060928
XGBoost,Augmented,LOCO,50,0.7647244204479179,4.3149601385103455,3.1859421435573645
XGBoost,Augmented,LOCO,51,0.7725139588081492,4.242928747558782,3.065110030592534
GPR,OFAT,LOCO,42,0.225145060677763,6.647107426761428,4.260291293034841
GPR,OFAT,LOCO,43,0.2251470171937066,6.647099034752029,4.260288530622574
GPR,OFAT,LOCO,44,0.2251394674072747,6.647131417705295,4.260298206890433
GPR,OFAT,LOCO,45,0.2251445660465668,6.647109548362522,4.260290832773229
GPR,OFAT,LOCO,46,0.2251555336750447,6.647062505209206,4.260275733739943
GPR,OFAT,LOCO,47,0.2251484019721673,6.647093095068058,4.260285414833179
GPR,OFAT,LOCO,48,0.2251498095947846,6.647087057393971,4.260289836475776
GPR,OFAT,LOCO,49,0.2251602164081648,6.647042419586783,4.260268318600741
GPR,OFAT,LOCO,50,0.2251458204332564,6.647104167972354,4.2602892138703305
GPR,OFAT,LOCO,51,0.2251425038006841,6.647118393861035,4.260293879912472
Random Forest,OFAT,LOCO,42,0.6437130210326427,4.507362322971005,3.2782591576107585
Random Forest,OFAT,LOCO,43,0.574887088408091,4.923507939238718,3.293462398106532
Random Forest,OFAT,LOCO,44,0.6514278654003652,4.458295265943101,3.168926690450872
Random Forest,OFAT,LOCO,45,0.6601848730295756,4.401937262678255,3.124472031926184
Random Forest,OFAT,LOCO,46,0.6790048888327084,4.278304621898085,3.0628053871145418
Random Forest,OFAT,LOCO,47,0.657455532631843,4.4195797338982326,3.303840417583385
Random Forest,OFAT,LOCO,48,0.6734254532588908,4.315326508679704,3.229676428019453
Random Forest,OFAT,LOCO,49,0.6700026376334194,4.3378819500179455,3.193482046409047
Random Forest,OFAT,LOCO,50,0.581477930934745,4.885192442875122,3.4396845834061764
Random Forest,OFAT,LOCO,51,0.6486560087389487,4.475986418058822,3.259677177005496
Ridge,OFAT,LOCO,42,0.4088206312525091,5.806068154268399,3.8387063724892414
Ridge,OFAT,LOCO,43,0.4008723028592019,5.844968746563621,3.990847699394448
Ridge,OFAT,LOCO,44,0.3880242327598273,5.907307897225572,3.919765587034826
Ridge,OFAT,LOCO,45,0.4971924794208123,5.35455491806264,3.746139347471341
Ridge,OFAT,LOCO,46,0.4149608202354509,5.775837558750244,3.907306449754228
Ridge,OFAT,LOCO,47,0.453955229033229,5.580031120245399,4.17951371523168
Ridge,OFAT,LOCO,48,0.4845490983032355,5.421458611055055,3.599164044239307
Ridge,OFAT,LOCO,49,0.48138580701342,5.43806874945644,3.712768130522133
Ridge,OFAT,LOCO,50,0.488882564690533,5.398621037238794,3.947440275785889
Ridge,OFAT,LOCO,51,0.4351423886647552,5.675341343890804,3.6911660829649473
XGBoost,OFAT,LOCO,42,0.5433463931809539,5.102886877565243,3.8066788480395366
XGBoost,OFAT,LOCO,43,0.5836142935317814,4.872708161012191,3.716947746276856
XGBoost,OFAT,LOCO,44,0.5544302547584085,5.040578025234038,3.812237108321417
XGBoost,OFAT,LOCO,45,0.5628123697622085,4.99294092366343,3.76188847791581
XGBoost,OFAT,LOCO,46,0.5621989415619931,4.99644255194672,3.7074115065165927
XGBoost,OFAT,LOCO,47,0.567257858283684,4.967491010155737,3.838191725185939
XGBoost,OFAT,LOCO,48,0.5725584604565133,4.936974197677887,3.8517032900310704
XGBoost,OFAT,LOCO,49,0.5735724986518518,4.931114620842353,3.7504383250645232
XGBoost,OFAT,LOCO,50,0.5957978486109958,4.800890550251781,3.630529608499436
XGBoost,OFAT,LOCO,51,0.5793015594856481,4.897877804067625,3.817337851751419
GPR,Augmented,LOOCV,42,0.7773823789715686,4.197281825905893,2.8716134620966374
GPR,Augmented,LOOCV,43,0.7773825296567202,4.197280405380077,2.871612642083681
GPR,Augmented,LOOCV,44,0.7773824008904078,4.197281619274569,2.8716135478574367
GPR,Augmented,LOOCV,45,0.7773824467325966,4.197281187115145,2.8716130583559405
GPR,Augmented,LOOCV,46,0.7773824996577933,4.197280688183362,2.8716129179977457
GPR,Augmented,LOOCV,47,0.7773824384791582,4.197281264921232,2.8716127248865675
GPR,Augmented,LOOCV,48,0.7773824677253505,4.1972809892141,2.871612372620448
GPR,Augmented,LOOCV,49,0.7773824813709503,4.197280860575495,2.871612336397112
GPR,Augmented,LOOCV,50,0.7773824056655816,4.197281574258475,2.871613010171554
GPR,Augmented,LOOCV,51,0.7773824425415219,4.197281226624876,2.871612845711561
Random Forest,Augmented,LOOCV,42,0.7911739369195168,4.065188727232157,2.879735630671235
Random Forest,Augmented,LOOCV,43,0.8048993761614067,3.929322645387453,2.5767461591081338
Random Forest,Augmented,LOOCV,44,0.8142868685332157,3.833625354302908,2.600599339311677
Random Forest,Augmented,LOOCV,45,0.7995123746546381,3.9832003193416816,2.6696906732616386
Random Forest,Augmented,LOOCV,46,0.8082229509930252,3.895710518143227,2.635539419390082
Random Forest,Augmented,LOOCV,47,0.8082441948465324,3.895494741031174,2.6226920072962057
Random Forest,Augmented,LOOCV,48,0.8114632607510793,3.862658894537205,2.603323134502932
Random Forest,Augmented,LOOCV,49,0.7908112663816944,4.068717225056561,2.734914060433592
Random Forest,Augmented,LOOCV,50,0.8156614642538795,3.819411301700704,2.5577634302941217
Random Forest,Augmented,LOOCV,51,0.7991429184942533,3.986868726674945,2.708640248350386
Ridge,Augmented,LOOCV,42,0.7386492472735164,4.547788297108331,3.2270768686541773
Ridge,Augmented,LOOCV,43,0.7418959244694004,4.519452156299479,3.1775714629125087
Ridge,Augmented,LOOCV,44,0.7521309044658165,4.428937515018756,3.0539159950526287
Ridge,Augmented,LOOCV,45,0.7455556785365569,4.487296261852074,3.203543465024373
Ridge,Augmented,LOOCV,46,0.7489531102295371,4.45723759286838,3.078845633190811
Ridge,Augmented,LOOCV,47,0.7511509558036098,4.437683765076137,3.0632558716036917
Ridge,Augmented,LOOCV,48,0.7534389920302769,4.417235568504641,3.0314901885868566
Ridge,Augmented,LOOCV,49,0.7490159078659708,4.456680084483571,3.1253677765772263
Ridge,Augmented,LOOCV,50,0.749106699408126,4.4558739269024725,3.100390691630708
Ridge,Augmented,LOOCV,51,0.7493731023987922,4.453507635306304,3.097924266588214
XGBoost,Augmented,LOOCV,42,0.7629554244229899,4.331151476684397,3.1358710936496133
XGBoost,Augmented,LOOCV,43,0.7619152485067939,4.340643843221319,3.0221206676750847
XGBoost,Augmented,LOOCV,44,0.7552753253175912,4.400755516584522,3.113156505216632
XGBoost,Augmented,LOOCV,45,0.7885428900089889,4.090717684833133,2.948220631114224
XGBoost,Augmented,LOOCV,46,0.7705302042265781,4.261388472077394,3.082201183469672
XGBoost,Augmented,LOOCV,47,0.7708325163755041,4.258580490126057,3.0043073180683875
XGBoost,Augmented,LOOCV,48,0.7660962399250726,4.302362145783961,3.0345489325439714
XGBoost,Augmented,LOOCV,49,0.776710836647189,4.203607762533864,3.005510995764481
XGBoost,Augmented,LOOCV,50,0.7794973207716586,4.1772964556520025,3.071801123368113
XGBoost,Augmented,LOOCV,51,0.7874038006419437,4.101720943574482,2.860049221641139
GPR,OFAT,LOOCV,42,0.2495733480357684,6.541489064609394,3.999139966787865
GPR,OFAT,LOOCV,43,0.249575293188939,6.541480586627963,3.999137266370891
GPR,OFAT,LOOCV,44,0.2495677966563788,6.541513260325468,3.999146917237095
GPR,OFAT,LOOCV,45,0.249572905815268,6.541490992033036,3.999139704117949
GPR,OFAT,LOOCV,46,0.249583819624068,6.54144342389345,3.9991247935681056
GPR,OFAT,LOOCV,47,0.2495768135291658,6.541473960192943,3.9991337566746687
GPR,OFAT,LOOCV,48,0.2495780375938555,6.541468625076235,3.9991411834890407
GPR,OFAT,LOOCV,49,0.249588558936726,6.5414227673595295,3.999117307410315
GPR,OFAT,LOOCV,50,0.2495741631531606,6.541485511908446,3.999137722210862
GPR,OFAT,LOOCV,51,0.2495708602044457,6.541499907846278,3.999142280765017
Random Forest,OFAT,LOOCV,42,0.6892011082879694,4.209807383545415,2.9096052329208346
Random Forest,OFAT,LOOCV,43,0.6316797573597513,4.582846265223123,2.8949350950116446
Random Forest,OFAT,LOOCV,44,0.671541055348221,4.327758732131885,2.9548298143461627
Random Forest,OFAT,LOOCV,45,0.6747493391775773,4.306570771680798,2.8189854611990124
Random Forest,OFAT,LOOCV,46,0.6848903650911001,4.238901608302006,2.83772060745009
Random Forest,OFAT,LOOCV,47,0.6757852709311246,4.299707032468023,3.116122147722677
Random Forest,OFAT,LOOCV,48,0.7009116738536911,4.129735394146593,2.824526532454541
Random Forest,OFAT,LOOCV,49,0.6756600616239061,4.300537209697142,3.014124629680037
Random Forest,OFAT,LOOCV,50,0.622573449512399,4.639153243658386,3.023586730541014
Random Forest,OFAT,LOOCV,51,0.6998183466597874,4.137276700207147,2.887032381964828
Ridge,OFAT,LOOCV,42,0.4649253825423065,5.523694736822814,3.5769302645309917
Ridge,OFAT,LOOCV,43,0.4610867180856063,5.543473022602795,3.6552350495556194
Ridge,OFAT,LOOCV,44,0.4830237671910031,5.4294743218389225,3.397312881621177
Ridge,OFAT,LOOCV,45,0.5329487391047543,5.160654317880695,3.6400618217519702
Ridge,OFAT,LOOCV,46,0.4720583667931332,5.4867535150867255,3.652575037120068
Ridge,OFAT,LOOCV,47,0.4551085915576414,5.574134899679941,4.183035290806854
Ridge,OFAT,LOOCV,48,0.5203084214626961,5.230022313811928,3.473884602250599
Ridge,OFAT,LOOCV,49,0.4945517863662344,5.368597289038251,3.6993227596382
Ridge,OFAT,LOOCV,50,0.527482274901628,5.190767143321801,3.653460088715724
Ridge,OFAT,LOOCV,51,0.4736191764889873,5.478636976798753,3.5122839724638872
XGBoost,OFAT,LOOCV,42,0.5920086734970913,4.823340925580938,3.343893371990749
XGBoost,OFAT,LOOCV,43,0.6240894756706654,4.629826721186625,3.33617542539324
XGBoost,OFAT,LOOCV,44,0.6030722471958463,4.7574937614067165,3.321602534793672
XGBoost,OFAT,LOOCV,45,0.5994384550229233,4.779221087243626,3.3455279770351587
XGBoost,OFAT,LOOCV,46,0.5789401222302661,4.899981324400196,3.491386972836086
XGBoost,OFAT,LOOCV,47,0.6110334182268731,4.709541626989895,3.4179762465613224
XGBoost,OFAT,LOOCV,48,0.6198414538313155,4.655913185222512,3.393751850582304
XGBoost,OFAT,LOOCV,49,0.6042994980151906,4.750133280626465,3.399122036071051
XGBoost,OFAT,LOOCV,50,0.6434063296886099,4.509301871331026,3.230646785100301
XGBoost,OFAT,LOOCV,51,0.6288167759493049,4.600623193966199,3.2781718367622013
