part,model,subset,cv,step,metric,point,lo,hi,median_boot,n_groups,n_rows,B_total,n_seeds
dopt,Ridge,all,LOCO,15,MAE,3.1740529687093346,2.4697195147491575,4.13527982033021,3.1578137816280654,39,57,20000,10
dopt,XGBoost,all,LOCO,0,R2,0.5699081593700988,0.32205009531742174,0.7212058605927646,0.5520092965612443,24,42,20000,10
dopt,XGBoost,all,LOCO,0,RMSE,4.952232603916811,3.494566023400962,6.691085769916685,4.86416508509551,24,42,20000,10
dopt,XGBoost,all,LOCO,0,MAE,3.784283662977673,2.7816126722766135,4.842522050218922,3.7431741797650453,24,42,20000,10
dopt,XGBoost,all,LOCO,1,R2,0.613877088818714,0.40863794369146306,0.7450420605320185,0.5956366500641542,25,43,20000,10
dopt,XGBoost,all,LOCO,1,RMSE,4.71817081797303,3.362683921591615,6.209563990366763,4.627162574338813,25,43,20000,10
dopt,XGBoost,all,LOCO,1,MAE,3.5584858711375746,2.5852154919962094,4.583716700136963,3.53609031229549,25,43,20000,10
dopt,XGBoost,all,LOCO,2,R2,0.660920394079255,0.4568965625187355,0.7963968724234268,0.6480539635036304,26,44,20000,10
dopt,XGBoost,all,LOCO,2,RMSE,4.569169200018283,3.2131364568166645,5.9991372023935705,4.487056161469759,26,44,20000,10
dopt,XGBoost,all,LOCO,2,MAE,3.4671640293164687,2.4065456631576314,4.4489409947417915,3.433043052840296,26,44,20000,10
dopt,XGBoost,all,LOCO,3,R2,0.6585074974815559,0.47183311302136655,0.7767850739339053,0.641599845749967,27,45,20000,10
dopt,XGBoost,all,LOCO,3,RMSE,4.683612641887279,3.4531313048377767,6.079527607723434,4.624799828785859,27,45,20000,10
dopt,XGBoost,all,LOCO,3,MAE,3.6295253874990667,2.696512346085371,4.623088351913861,3.6052506840894427,27,45,20000,10
dopt,XGBoost,all,LOCO,4,R2,0.6603448995330898,0.4587187743009326,0.7954524657225864,0.6442787909662168,28,46,20000,10
dopt,XGBoost,all,LOCO,4,RMSE,4.848512790834592,3.4979266093075068,6.4054524493066545,4.795877445629515,28,46,20000,10
dopt,XGBoost,all,LOCO,4,MAE,3.69388026330782,2.7125045826719565,4.799619751900434,3.706150789332229,28,46,20000,10
dopt,XGBoost,all,LOCO,5,R2,0.6936326483109441,0.5117717527055069,0.8129363139126184,0.68032261879006,29,47,20000,10
dopt,XGBoost,all,LOCO,5,RMSE,4.685304633929732,3.4254442040245126,6.164578522427598,4.634844923482861,29,47,20000,10
dopt,XGBoost,all,LOCO,5,MAE,3.577696515093458,2.650225656077669,4.614467157634289,3.5723229244848094,29,47,20000,10
dopt,XGBoost,all,LOCO,6,R2,0.6819460277283145,0.4986878430210768,0.8134495182951841,0.673994502941973,30,48,20000,10
dopt,XGBoost,all,LOCO,6,RMSE,4.808343764447382,3.477177976420013,6.321676577420384,4.733115773323286,30,48,20000,10
dopt,XGBoost,all,LOCO,6,MAE,3.7059039682149892,2.7208260496304773,4.688631396774493,3.656564820994401,30,48,20000,10
dopt,XGBoost,all,LOCO,7,R2,0.6835505325167441,0.5115660293849116,0.8150046111939108,0.6782249057935652,31,49,20000,10
dopt,XGBoost,all,LOCO,7,RMSE,4.818234077878552,3.490155979321663,6.241080096333166,4.721999845850604,31,49,20000,10
dopt,XGBoost,all,LOCO,7,MAE,3.7090441119427586,2.743975563977712,4.642495751947653,3.6556109949489812,31,49,20000,10
dopt,XGBoost,all,LOCO,8,R2,0.6785822373223225,0.5089348191309143,0.8078554167883408,0.6756301650448531,32,50,20000,10
dopt,XGBoost,all,LOCO,8,RMSE,4.8487918139699575,3.5190100618057287,6.318655081016079,4.737786785423195,32,50,20000,10
dopt,XGBoost,all,LOCO,8,MAE,3.664672792339325,2.712557043047178,4.646848513660569,3.618969767761231,32,50,20000,10
dopt,XGBoost,all,LOCO,9,R2,0.7105438980449961,0.5673673915175695,0.8169435950724674,0.7043593446907866,33,51,20000,10
dopt,XGBoost,all,LOCO,9,RMSE,4.6678146535354195,3.46720505986444,5.917324849635842,4.599901382556518,33,51,20000,10
dopt,XGBoost,all,LOCO,9,MAE,3.5453362133923703,2.608501243780508,4.465647597023603,3.518919068425278,33,51,20000,10
dopt,XGBoost,all,LOCO,10,R2,0.7211038489188013,0.585132219307825,0.826498678530755,0.7160734757341489,34,52,20000,10
dopt,XGBoost,all,LOCO,10,RMSE,4.6387033113709775,3.438366275232611,5.872780869467585,4.561872524832994,34,52,20000,10
dopt,XGBoost,all,LOCO,10,MAE,3.524506464325465,2.625940152039347,4.4373159806456055,3.5044291433902353,34,52,20000,10
dopt,XGBoost,all,LOCO,11,R2,0.734518045391461,0.6002098502729678,0.8393635962298933,0.7314999061517562,35,53,20000,10
dopt,XGBoost,all,LOCO,11,RMSE,4.572552021647015,3.3399854983843307,5.816937627642168,4.49268091893843,35,53,20000,10
dopt,XGBoost,all,LOCO,11,MAE,3.4225889396217637,2.507635730589567,4.384055747633507,3.397562686016686,35,53,20000,10
dopt,XGBoost,all,LOCO,12,R2,0.7247615278237902,0.5885632169014441,0.8268818338172559,0.7197976400259849,36,54,20000,10
dopt,XGBoost,all,LOCO,12,RMSE,4.647057438681101,3.4387610099001917,5.896490741239729,4.583483466812917,36,54,20000,10
dopt,XGBoost,all,LOCO,12,MAE,3.4959228743447204,2.550230119932097,4.4165102290392815,3.4554575734627555,36,54,20000,10
dopt,XGBoost,all,LOCO,13,R2,0.7324859032855858,0.5926933973077488,0.8337944937132379,0.7275866664605364,37,55,20000,10
dopt,XGBoost,all,LOCO,13,RMSE,4.606537343965384,3.4130463969846314,5.900953271262182,4.545040657292711,37,55,20000,10
dopt,XGBoost,all,LOCO,13,MAE,3.4096269955635075,2.547153876843663,4.356444242156944,3.417959027157315,37,55,20000,10
dopt,XGBoost,all,LOCO,14,R2,0.7440831621072066,0.61708042787366,0.8498906959789511,0.7455352761442683,38,56,20000,10
dopt,XGBoost,all,LOCO,14,RMSE,4.535317564209828,3.328820205005746,5.726071785413803,4.424889812841794,38,56,20000,10
dopt,XGBoost,all,LOCO,14,MAE,3.303426467606,2.5010917236655956,4.243348937068502,3.3499794547641195,38,56,20000,10
dopt,XGBoost,all,LOCO,15,R2,0.7564950210475108,0.6201570132877499,0.8563068476202413,0.7513170595971597,39,57,20000,10
dopt,XGBoost,all,LOCO,15,RMSE,4.389757726418538,3.1978858527175076,5.682793300240241,4.350967628074777,39,57,20000,10
dopt,XGBoost,all,LOCO,15,MAE,3.2283980938426238,2.373266951328942,4.151034384934107,3.217305828197186,39,57,20000,10
sametest,GPR,A@OFAT,LOCO,,R2,0.22514641881348157,-1.0071306399412334,0.694283650874022,0.20836180601970045,24,42,20000,10
sametest,GPR,A@OFAT,LOCO,,RMSE,6.647101601362191,3.864909905709461,9.598876554519205,6.534607915501798,24,42,20000,10
sametest,GPR,A@OFAT,LOCO,,MAE,4.260289525173054,2.899995048608065,6.281842857057827,4.208919063776904,24,42,20000,10
sametest,GPR,B@OFAT,LOCO,,R2,0.6501232442005762,0.4198966257156477,0.8128309779748436,0.6341395698732635,24,42,20000,10
sametest,GPR,B@OFAT,LOCO,,RMSE,4.46663063439477,3.0142686093404034,6.283134473140942,4.380916701470353,24,42,20000,10
sametest,GPR,B@OFAT,LOCO,,MAE,3.1830069101236393,2.37783059211723,4.244925931062798,3.1466272553263948,24,42,20000,10
sametest,GPR,A@DOE,LOCO,,R2,0.10686441630077137,-0.3947055097368299,0.2643670921304654,0.04687888866278911,15,15,20000,10
sametest,GPR,A@DOE,LOCO,,RMSE,11.213293331908204,9.195440251626668,13.033314390423296,11.244215169441606,15,15,20000,10
